--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
./temp\56.jpg            	2012,07.23               	0.8037
./temp\57.jpg            	09:34:29                 	0.8033
./temp\58.jpg            	09:34:29                 	0.8033
./temp\59.jpg            	열람일시                     	0.9148
./temp\60.jpg            	열람일시                     	0.9148
./temp\61.jpg            	2012,07.23               	0.6883
./temp\62.jpg            	2012,07.23               	0.6883
./temp\63.jpg            	13:45:26                 	0.9259
./temp\64.jpg            	13:45:26                 	0.9259
./temp\65.jpg            	제                        	0.9996
./temp\66.jpg            	제                        	0.9996
./temp\67.jpg            	목                        	0.9992
./temp\68.jpg            	목                        	0.9992
./temp\69.jpg            	전자문서                     	0.9984
./temp\70.jpg            	전자문서                     	0.9984
./temp\71.jpg            	유등                       	0.5142
./temp\72.jpg            	유등                       	0.6470
./temp\73.jpg            	모텔                       	0.1418
./temp\74.jpg            	모텔                       	0.1418
./temp\75.jpg            	협조요청                     	0.0107
./temp\76.jpg            	협조요청                     	0.2512
./temp\77.jpg            	(본문정보갑)                  	0.7270
./temp\78.jpg            	(본문정보갑)                  	0.7270
./temp\79.jpg            	업종별                      	0.9911
./temp\80.jpg            	업종별                      	0.9911
./temp\81.jpg            	문서                       	0.9988
./temp\82.jpg            	문서                       	0.9988
./temp\83.jpg            	발생량                      	0.9679
./temp\84.jpg            	발생량                      	0.9679
./temp\85.jpg            	자료.pdf                   	0.2720
./temp\86.jpg            	자료.pdf                   	0.2720
./temp\87.jpg            	송수신                      	0.9848
./temp\88.jpg            	송수신                      	0.9848
./temp\89.jpg            	내 용                      	0.9432
./temp\90.jpg            	내 용                      	0.9079
./temp\91.jpg            	첨부파일                     	0.5673
./temp\92.jpg            	첨부파일                     	0.5673
./temp\93.jpg            	유등모밀                     	0.0033
./temp\94.jpg            	유등모밀                     	0.1793
./temp\95.jpg            	,hww                     	0.1158
./temp\96.jpg            	,hww                     	0.1415
./temp\97.jpg            	(따일정보갑)                  	0.3584
./temp\98.jpg            	(따일정보갑)                  	0.3978
./temp\99.jpg            	중명서유효기간                  	0.2671
./temp\100.jpg           	중명서유효기간                  	0.2671
./temp\101.jpg           	2012.07.23~2012.10.2     	0.5499
./temp\102.jpg           	2012.07.23~2012.10.2     	0.5499
./temp\103.jpg           	본                        	0.9987
./temp\104.jpg           	본                        	0.9988
./temp\105.jpg           	증명서는                     	0.9950
./temp\106.jpg           	증명서는                     	0.9950
./temp\107.jpg           	전자문서                     	0.9982
./temp\108.jpg           	전자문서                     	0.9982
./temp\109.jpg           	및                        	0.9997
./temp\110.jpg           	및                        	0.9997
./temp\111.jpg           	전자거래                     	0.9933
./temp\112.jpg           	전자거래                     	0.9933
./temp\113.jpg           	기본법                      	0.9926
./temp\114.jpg           	기본법                      	0.9926
./temp\115.jpg           	제18조의5에                  	0.5251
./temp\116.jpg           	제18조의5에                  	0.5251
./temp\117.jpg           	의해                       	0.9994
./temp\118.jpg           	의해                       	0.9994
./temp\119.jpg           	정보용신산업진흥원에서              	0.1609
./temp\120.jpg           	정보용신산업진흥원에서              	0.2608
./temp\121.jpg           	발급한                      	0.9954
./temp\122.jpg           	발급한                      	0.9954
./temp\123.jpg           	유통증명서                    	0.9598
./temp\124.jpg           	유통증명서                    	0.9436
./temp\125.jpg           	입니다.                     	0.9479
./temp\126.jpg           	입니다.                     	0.9949
./temp\127.jpg           	2012년                    	0.9748
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\128.jpg           	2012년                    	0.9886
./temp\129.jpg           	07월                      	0.9857
./temp\130.jpg           	07월                      	0.9857
./temp\131.jpg           	23일                      	0.9976
./temp\132.jpg           	23일                      	0.9976
./temp\133.jpg           	정보통신산업진흥원장               	0.9358
./temp\134.jpg           	정보통신산업진흥원장               	0.9358
./temp\135.jpg           	본증명서는                    	0.8720
./temp\136.jpg           	본증명서는                    	0.8720
./temp\137.jpg           	www.epos.k               	0.0132
./temp\138.jpg           	www.epos.k               	0.0132
./temp\139.jpg           	에에                       	0.1529
./temp\140.jpg           	에서                       	0.9978
./temp\141.jpg           	발급사실을                    	0.9137
./temp\142.jpg           	확인                       	0.9970
./temp\143.jpg           	확인                       	0.9970
./temp\144.jpg           	할수                       	0.9825
./temp\145.jpg           	할수                       	0.9825
./temp\146.jpg           	있습니다.                    	0.9933
./temp\147.jpg           	있습니다.                    	0.9933
./temp\148.jpg           	있습니다.                    	0.9933
